x, y
2.493765586034913, 76.84563758389262
5.320033250207814, 74.83221476510067
8.478802992518704, 73.15436241610739
11.637572734829593, 70.46979865771813
15.045719035743975, 69.46308724832215
18.703241895261847, 65.43624161073826
22.36076475477972, 63.08724832214765
25.519534497090607, 59.395973154362416
28.428927680798004, 53.691275167785236
30.507065669160433, 48.99328859060403
32.917705735660846, 42.95302013422819
34.08146300914381, 84.56375838926175
37.0739817123857, 76.51006711409396
40.0665004156276, 93.28859060402685
42.477140482128014, 88.59060402684564
45.46965918536991, 87.24832214765101
48.29592684954281, 87.24832214765101
51.537822111388195, 82.5503355704698
53.86533665835412, 73.48993288590604
54.2809642560266, 54.36241610738255
56.69160432252702, 44.29530201342282
58.021612635078974, 18.79194630872483
60.59850374064838, 21.476510067114095
63.17539484621779, 27.181208053691275
64.92103075644224, 37.24832214765101
66.16791354945968, 45.97315436241611
67.33167082294264, 33.89261744966443
68.24605153782211, 21.140939597315437
70.90606816292602, 11.073825503355705
73.56608478802993, 7.046979865771813
75.39484621778887, 6.375838926174497
75.64422277639235, 9.395973154362416
79.30174563591022, 13.422818791946309
81.37988362427265, 13.422818791946309
84.62177888611804, 13.758389261744966
88.02992518703242, 19.46308724832215
91.85369908561928, 26.51006711409396
95.59434746467166, 34.899328859060404
