x, y
0.45711134734436554, 9.80677404978672
11.660688196738086, 22.283695167759596
20.812579231307097, 32.68829184440058
26.359765560602355, 36.614248424269434
33.52858580288672, 38.731457312026485
40.34176761848456, 38.98739415547208
44.9486382163505, 45.55866810975998
49.77585001335918, 53.1088049914051
58.3430637431854, 61.36754313363468
66.14198250231654, 65.64111542624308
75.42820435566117, 63.94505634430509
82.4887868159105, 59.96275545934933
86.51484574410632, 53.41153625771948
87.73348720076858, 47.708346597058636
94.43939764309955, 44.09276118927866
102.55529847819042, 43.273381294964025
110.91086868778744, 37.35436429617368
119.9004030493039, 24.74851976825619
126.3550472119107, 14.687718851467498
134.06408995560204, 7.971286687464188
142.90383095805217, 3.4933469153880434
152.6713243779454, 2.7303113261603107
160.5485222472983, 5.393773476793786
169.30225286938133, 14.265614057426625
