x, y
4.881264674,-16.08733347
5.936675701,-15.07976907
6.860156575,-10.84803087
9.190853157,-9.571790318
13.06068654,-9.504622433
13.14863696,-4.668350207
13.28056107,-0.302267014
15.43535682,1.444162573
17.23834487,1.981524104
17.28232159,5.004194245
17.32629831,9.235932443
17.41424872,14.47523043
19.788919,16.08731963
21.24010841,17.56506846
22.38346683,21.19227263
24.2744053,20.72207898
25.98944897,24.14777488
27.792434,25.02098968
28.84784503,23.81192162
30.25505772,25.35684294
31.7502178,29.38706826
34.0809174,31.93954475
36.80738934,33.75314914
38.69832781,32.94710223
40.14951722,35.16372777
40.94107398,33.01427243
43.09586671,34.62636394
45.16271204,34.9622172
47.49340561,33.48446607
48.98856569,32.07388513
50.21987755,31.20067034
51.27528858,30.7304767
52.11082205,32.61125128
53.60598214,32.27539802
54.837294,33.68597665
55.10114222,37.04450005
57.43184182,37.98488734
60.51011543,37.58186389
62.97273915,37.71620427
64.86367761,38.45507868
65.61125765,35.96977238
67.76605038,34.42485336
68.02990465,32.4097384
70.62445852,32.4097384
72.51539698,29.9244344
74.75813711,29.9244344
75.15391549,27.30478541
77.70449264,27.90931943
79.90325605,26.36439812
80.34301115,22.06548973
81.88214795,20.6549111
82.23394962,18.70696863
82.8935883,15.68429849
83.59719163,10.24349223
84.08092344,7.959696502
85.04837499,5.608728274
86.54353508,2.65323063
87.73087022,0.638115665
88.91820536,-0.638120277
89.22604238,-3.862303299
90.63324903,-5.071371355
92.43623406,-5.608732886
93.66754592,-6.146099029
93.71152264,-11.3853924
95.25065944,-11.3853924
95.91029812,-13.19899449
96.35005322,-17.29639692
96.83377296,-19.58018803
97.581353,-22.26700491
