x, y
13.36633663,29.37644342
15.59405941,33.81062356
17.57425743,40.46189376
24.25742574,46.00461894
29.7029703,49.05311778
34.9009901,50.71593533
37.87128713,54.59584296
40.84158416,57.36720554
44.05940594,54.59584296
47.52475248,50.16166282
53.96039604,50.16166282
59.65346535,49.88452656
64.6039604,49.05311778
70.79207921,47.94457275
74.25742574,51.54734411
77.97029703,53.76443418
82.42574257,56.53579677
86.13861386,59.58429561
90.84158416,62.90993072
95.79207921,68.45265589
99.5049505,75.38106236
102.970297,83.97228637
106.1881188,90.06928406
110.3960396,96.16628176
114.8514851,101.9861432
121.2871287,105.8660508
128.4653465,108.6374134
135.3960396,108.3602771
142.0792079,108.0831409
146.7821782,108.0831409
152.7227723,106.9745958
157.6732673,103.3718245
166.0891089,95.05773672
170.049505,87.57505774
173.5148515,79.26096998
175.2475248,70.66974596
177.970297,61.24711316
181.9306931,51.82448037
185.1485149,46.00461894
188.6138614,40.46189376
191.5841584,37.69053118
